,E,weight
167,0.0005625000000000001,0.00021280000000000002
168,0.0005875,0.0002082
169,0.0006150000000000001,0.00020340000000000004
170,0.000645,0.0001985
171,0.000675,0.00019409999999999997
172,0.000705,0.0001898
173,0.00074,0.00018519999999999998
174,0.0007800000000000001,0.0001805
175,0.00082,0.00017619999999999997
176,0.00086,0.00017180000000000003
177,0.0009000000000000001,0.00016790000000000002
178,0.00094,0.00016450000000000001
179,0.00098,0.000161
180,0.0010249999999999999,0.0001575
181,0.001075,0.00015419999999999998
182,0.0011250000000000001,0.0001508
183,0.001175,0.0001474
184,0.001238,0.00014340000000000002
185,0.0013130000000000001,0.0001393
186,0.0013880000000000001,0.0001356
187,0.001463,0.0001318
188,0.00155,0.0001281
189,0.00165,0.0001242
190,0.00175,0.0001204
191,0.00185,0.00011719999999999999
192,0.00195,0.0001141
193,0.0020499999999999997,0.00011140000000000001
194,0.00215,0.000109
195,0.0022500000000000003,0.00010659999999999999
196,0.00235,0.0001042
197,0.002475,0.0001013
198,0.0026249999999999997,9.853e-05
199,0.00275,9.627e-05
200,0.0029,9.36e-05
201,0.0031,9.056e-05
202,0.0033,8.776e-05
203,0.0035000000000000005,8.513e-05
204,0.0037000000000000006,8.287e-05
205,0.0039,8.065e-05
206,0.004125,7.859999999999999e-05
207,0.0043749999999999995,7.644e-05
208,0.004625,7.428e-05
209,0.004875,7.217e-05
210,0.005125,7.045e-05
211,0.0053750000000000004,6.885e-05
212,0.005625000000000001,6.725e-05
213,0.005875,6.569e-05
214,0.00615,6.427e-05
215,0.00645,6.278e-05
216,0.00675,6.129e-05
217,0.00705,5.998e-05
218,0.007400000000000001,5.858e-05
219,0.0078,5.701e-05
220,0.008199999999999999,5.572e-05
221,0.008599999999999998,5.45e-05
222,0.009000000000000001,5.327e-05
223,0.0094,5.205e-05
224,0.009800000000000001,5.087e-05
225,0.01025,4.981e-05
226,0.010750000000000001,4.868e-05
227,0.011250000000000001,4.754e-05
228,0.01175,4.644e-05
229,0.01238,4.531e-05
230,0.01313,4.399e-05
231,0.01388,4.274e-05
232,0.01463,4.167e-05
233,0.0155,4.045e-05
234,0.0165,3.929e-05
235,0.017499999999999998,3.821e-05
236,0.0185,3.712e-05
237,0.0195,3.607e-05
238,0.0205,3.522e-05
239,0.021500000000000002,3.442e-05
240,0.022500000000000003,3.361e-05
241,0.0235,3.284e-05
242,0.024749999999999998,3.204e-05
243,0.026250000000000002,3.11e-05
244,0.0275,3.035e-05
245,0.028999999999999998,2.959e-05
246,0.031,2.8600000000000004e-05
247,0.033,2.778e-05
248,0.034999999999999996,2.702e-05
249,0.037,2.625e-05
250,0.039,2.55e-05
251,0.04125,2.483e-05
252,0.04375,2.412e-05
253,0.04625,2.342e-05
254,0.04875,2.282e-05
255,0.05125,2.227e-05
256,0.05375,2.172e-05
257,0.05625,2.123e-05
258,0.05875,2.079e-05
259,0.061500000000000006,2.0300000000000002e-05
260,0.0645,1.985e-05
261,0.0675,1.944e-05
262,0.0705,1.904e-05
263,0.074,1.856e-05
264,0.078,1.803e-05
265,0.082,1.761e-05
266,0.08600000000000001,1.721e-05
267,0.09000000000000001,1.681e-05
268,0.094,1.642e-05
269,0.098,1.6100000000000002e-05
270,0.1025,1.575e-05
271,0.1075,1.536e-05
272,0.1125,1.502e-05
273,0.11750000000000001,1.47e-05
274,0.12380000000000001,1.432e-05
275,0.13130000000000003,1.393e-05
276,0.1388,1.357e-05
277,0.1463,1.321e-05
278,0.155,1.714e-05
279,0.165,6.792e-05
280,0.175,0.0001315
281,0.185,0.00019380000000000002
282,0.195,0.000225
283,0.205,0.00024330000000000003
284,0.215,0.0002614
285,0.225,0.00027539999999999997
286,0.23500000000000001,0.0002867
287,0.2475,0.0003007
288,0.2625,0.0003177
289,0.275,0.0003318
290,0.29,0.0003486
291,0.31,0.00037119999999999997
292,0.33,0.0003937
293,0.35,0.00041630000000000004
294,0.37,0.0004388
295,0.39,0.00046130000000000005
296,0.4125,0.0004865
297,0.4375,0.0005146
298,0.4625,0.0005426
299,0.4875,0.0005706
300,0.5125000000000001,0.0005985000000000001
301,0.5375,0.0006263999999999999
302,0.5625,0.0006542999999999999
303,0.5875,0.0006822
304,0.615,0.0007127999999999999
305,0.645,0.0007462
306,0.675,0.0007795
307,0.705,0.0008128
308,0.74,0.0008515
309,0.78,0.0008957
310,0.82,0.0009398999999999999
311,0.86,0.000984
312,0.9,0.0010279999999999998
313,0.9400000000000001,0.001072
314,0.98,0.001116
315,1.0250000000000001,0.001165
316,1.075,0.00122
317,1.125,0.001274
318,1.175,0.0013289999999999999
319,1.2380000000000002,0.001397
320,1.3130000000000002,0.001478
321,1.3880000000000001,0.001559
322,1.463,0.00164
323,1.55,0.001734
324,1.65,0.001842
325,1.75,0.0019489999999999998
326,1.85,0.0020559999999999997
327,1.95,0.0021620000000000003
328,2.0500000000000003,0.002269
329,2.15,0.002382
330,2.25,0.004405
331,2.35,0.002589
332,2.475,0.0027170000000000002
333,2.625,0.002874
334,2.75,0.0030039999999999997
335,2.9,0.003159
336,3.1,0.0033659999999999996
337,3.3,0.003573
338,3.5,0.003778
339,3.7,0.003982
340,3.9,0.004186
341,4.125,0.004413
342,4.375,0.004666
343,4.625,0.004917
344,4.875,0.005492
345,5.125,0.005419
346,5.375,0.0056619999999999995
347,5.625,0.005907
348,5.875,0.006151
349,6.15,0.006418000000000001
350,6.45,0.00671
351,6.75,0.006998999999999999
352,7.05,0.007285
353,7.4,0.007618000000000001
354,7.8,0.007998
355,8.200000000000001,0.008372
356,8.6,0.008745000000000001
357,9.000000000000002,0.009115
358,9.4,0.009477
359,9.799999999999999,0.009838
360,10.25,0.01024
361,10.75,0.01069
362,11.25,0.01115
363,11.75,0.011590000000000001
364,12.38,0.01213
365,13.13,0.01277
366,13.880000000000003,0.0134
367,14.63,0.01403
368,15.5,0.015569999999999999
369,16.5,0.01554
370,17.5,0.01634
371,18.5,0.0171
372,19.5,0.01782
373,20.5,0.01854
374,21.5,0.01926
375,22.5,0.01998
376,23.5,0.02069
377,24.75,0.0215
378,26.25,0.02245
379,27.5,0.02317
380,28.999999999999996,0.024
381,31.0,0.02509
382,33.0,0.02599
383,35.0,0.02675
384,37.00000000000001,0.02743
385,39.0,0.03247
386,41.25,0.02792
387,43.75,0.027389999999999998
388,46.25,0.02598
389,48.75,0.02288
390,51.25,0.01626
391,53.75,0.01485
392,56.25,0.5078
393,58.75,0.1145
394,61.5,0.07793
395,64.5,0.06706000000000001
396,67.5,0.06455
397,70.5,0.059879999999999996
398,74.00000000000001,0.05797000000000001
399,78.0,0.05636
400,81.99999999999999,0.054939999999999996
401,86.0,0.053739999999999996
402,90.0,0.051879999999999996
403,94.0,0.04992
404,98.0,0.0479
405,102.5,0.04526
406,107.5,0.04162
407,112.5,0.03764
408,117.5,0.03297
409,123.8,0.02645
410,131.3,0.01826
411,138.8,0.01121
412,146.3,0.0109
413,155.0,0.04848
414,165.0,0.2173
415,175.0,0.6987
416,185.0,1.196
417,195.0,1.162
418,205.0,0.971
419,215.0,0.8288
420,225.0,0.7334
421,235.0,0.6709
422,247.5,0.6172
423,262.5,0.5768
424,275.0,0.5547
425,290.0,0.5393
426,310.0,0.5237
427,330.0,0.5198
428,350.0,0.5097
429,370.0,0.5036
430,390.0,0.532
431,412.5,0.5403
432,437.5,0.5451
433,462.5,0.5581
434,487.5,0.574
435,512.5,0.5987
436,537.5,0.7554
437,562.5,1.28
438,587.5,0.5997
439,615.0,0.5425
440,645.0,0.5536
441,675.0,0.5786
442,705.0,0.6019
443,740.0,0.6724
444,780.0,0.9209
445,820.0,1.459
446,860.0,0.8318
447,900.0,0.9434
448,940.0,1.172
449,980.0,1.1740000000000002
450,1050.0,0.802
451,1150.0,0.6578
452,1250.0,0.968
453,1350.0,0.941
454,1450.0,1.079
455,1550.0,1.128
456,1650.0,1.766
457,1750.0,0.8366
458,1850.0,1.411
459,1950.0,1.393
460,2050.0,1.022
461,2150.0,1.159
462,2250.0,1.126
463,2350.0,1.1059999999999999
464,2450.0,1.2670000000000001
465,2550.0,1.3840000000000001
466,2650.0,1.238
467,2750.0,1.153
468,2850.0,1.4369999999999998
469,2950.0,1.061
470,3050.0,1.278
471,3150.0,1.4269999999999998
472,3250.0,1.281
473,3350.0,1.217
474,3450.0,1.2590000000000001
475,3550.0,1.213
476,3650.0,0.7506
477,3750.0,1.235
478,3850.0,1.187
479,3950.0,1.452
480,4050.0,1.431
481,4150.0,1.147
482,4250.0,1.7819999999999998
483,4350.0,1.442
484,4450.0,1.5090000000000001
485,4550.0,1.4980000000000002
486,4650.0,1.673
487,4750.0,2.003
488,4850.0,1.7169999999999999
489,4950.0,1.579
490,5050.0,1.6119999999999999
491,5150.0,1.831
492,5250.0,1.605
493,5350.0,1.3359999999999999
494,5450.0,1.2770000000000001
495,5550.0,1.567
496,5650.0,1.6159999999999999
497,5750.0,1.929
498,5850.0,1.794
499,5950.0,1.4680000000000002
500,6050.0,1.666
501,6150.0,1.364
502,6250.0,1.9
503,6350.0,1.641
504,6450.0,1.514
505,6550.0,1.314
506,6650.0,1.611
507,6750.0,1.778
508,6850.0,1.577
509,6950.0,1.521
510,7050.0,1.77
511,7150.0,1.47
512,7250.0,1.8030000000000002
513,7350.0,1.818
514,7450.0,1.7930000000000001
515,7550.0,1.757
516,7650.0,1.794
517,7750.0,1.8659999999999999
518,7850.0,1.861
519,7950.0,1.992
520,8050.000000000001,1.806
521,8150.0,1.663
522,8250.0,1.743
523,8350.0,1.768
524,8450.0,1.7819999999999998
525,8550.0,1.771
526,8650.0,1.7690000000000001
527,8750.0,1.589
528,8850.0,1.685
529,8950.0,1.871
530,9050.0,1.876
531,9150.0,1.686
532,9250.0,1.619
533,9350.0,1.751
534,9450.0,1.824
535,9550.0,1.767
536,9650.0,1.669
537,9750.0,1.7069999999999999
538,9850.0,1.754
539,9950.0,1.78
540,10050.0,1.76
541,10150.0,1.7819999999999998
542,10250.0,1.764
543,10350.0,1.7719999999999998
544,10450.0,1.709
545,10550.0,1.696
546,10650.0,1.6740000000000002
547,10750.0,1.726
548,10850.0,1.765
549,10950.0,1.765
550,11050.0,1.736
551,11150.0,1.68
552,11250.0,1.692
553,11350.0,1.735
554,11450.0,1.765
555,11550.0,1.778
556,11650.0,1.767
557,11750.0,1.751
558,11850.0,1.754
559,11950.0,1.767
560,12050.0,1.784
561,12150.0,1.8119999999999998
562,12250.0,1.8159999999999998
563,12350.0,1.8219999999999998
564,12450.0,1.791
565,12550.0,1.757
566,12650.0,1.837
567,12750.0,1.8559999999999999
568,12850.0,1.85
569,12950.0,1.8530000000000002
570,13050.0,1.8619999999999999
571,13150.0,1.828
572,13250.0,1.7930000000000001
573,13350.0,1.806
574,13450.0,1.839
575,13550.0,1.8019999999999998
576,13650.0,1.78
577,13750.0,1.804
578,13850.0,1.87
579,13950.0,1.808
580,14050.0,1.787
581,14150.0,1.817
582,14250.0,1.83
583,14350.0,1.8430000000000002
584,14450.0,1.845
585,14550.0,1.791
586,14650.0,1.765
587,14750.0,1.774
588,14850.0,1.808
589,14950.0,1.8130000000000002
590,15050.0,1.7730000000000001
591,15150.0,1.801
592,15250.0,1.8419999999999999
593,15350.0,1.841
